city,name,specialization,qualification,experience,satisfaction_rate,reviews,areas_of_interest,consultation_type,hospital_name,hospital_address,hospital_city,complete address,availability_schedule,fee,profile_url,image_url,raw_source_url
Rawalpindi,Dr. Syed M Ali Shahzad,Acupuncture,"MBBS, MD, MAc, LAc",8 Yrs,100%,36,"Acupuncture, Parkinson, Hormone Imbalance, Parkinsons Disease",Video Consultation,Video Consultation,Garden Town,Rawalpindi,Video Consultation,Mon: 11:00 AM - 04:00 PM; Tue: 11:00 AM - 04:00 PM; Wed: 11:00 AM - 04:00 PM; Thu: 11:00 AM - 04:00 PM,"1,000",https://www.marham.pk/online-consultation/acupuncture/rawalpindi/dr-syed-m-ali-shahzad-13822,https://staticconnect.marham.pk/assets/doctors/13822/dr-syed-m-ali-shehzad-acupuncture-rawalpindi-59_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Saima Zahoor,Acupuncture,"Dip. Acupuncture, BSc,. MS Acupuncture (Sri Lanka), MD TCM (Sri Lanka) Member British Acupuncture Council (UK)",10 Yrs,97%,39,"Stress Management, Pain Management, Cupping & Laser Therapy, Acupuncture",Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 12:00 PM - 03:00 PM; Tue: 12:00 PM - 03:00 PM; Wed: 12:00 PM - 03:00 PM; Thu: 12:00 PM - 03:00 PM; Fri: 12:00 PM - 03:00 PM,"4,000",https://www.marham.pk/doctors/lahore/acupuncture/saima-zahoor,https://staticconnect.marham.pk/assets/doctors/20284/dr-saima-zahoor-acupuncture-lahore-47_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Saima Zahoor,Acupuncture,"Dip. Acupuncture, BSc,. MS Acupuncture (Sri Lanka), MD TCM (Sri Lanka) Member British Acupuncture Council (UK)",10 Yrs,97%,39,"Stress Management, Pain Management, Cupping & Laser Therapy, Acupuncture",Hospital,Hameed latif hospital .,DHA phase 5,Lahore,"Hameed latif hospital ., DHA phase 5, Lahore",Mon: 06:00 PM - 08:00 PM; Tue: 06:00 PM - 08:00 PM; Wed: 06:00 PM - 08:00 PM; Thu: 06:00 PM - 08:00 PM; Fri: 06:00 PM - 08:00 PM; Sat: 06:00 PM - 08:00 PM,4000,https://www.marham.pk/doctors/lahore/acupuncture/saima-zahoor,https://staticconnect.marham.pk/assets/doctors/20284/dr-saima-zahoor-acupuncture-lahore-47_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Saima Zahoor,Acupuncture,"Dip. Acupuncture, BSc,. MS Acupuncture (Sri Lanka), MD TCM (Sri Lanka) Member British Acupuncture Council (UK)",10 Yrs,97%,39,"Stress Management, Pain Management, Cupping & Laser Therapy, Acupuncture",Hospital,Surgimed Hospital,Gulberg 4,Lahore,"Surgimed Hospital, Gulberg 4, Lahore",Mon: 03:00 PM - 05:00 PM; Tue: 03:00 PM - 05:00 PM; Wed: 03:00 PM - 05:00 PM; Thu: 03:00 PM - 05:00 PM; Fri: 03:00 PM - 05:00 PM,4000,https://www.marham.pk/doctors/lahore/acupuncture/saima-zahoor,https://staticconnect.marham.pk/assets/doctors/20284/dr-saima-zahoor-acupuncture-lahore-47_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Homeopathic Dr. Muhammad Zain Fazal,"Homeopath, Acupuncture","BHMS, DHMS",6 Yrs,100%,55,"Homeopath Psychiatry, Chronic Diseases, Female Disorders, Arthritis",Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 11:00 AM - 10:00 PM; Tue: 11:00 AM - 10:00 PM; Wed: 11:00 AM - 10:00 PM; Thu: 11:00 AM - 10:00 PM; Fri: 11:00 AM - 10:00 PM; Sat: 11:00 AM - 10:00 PM; Sun: 11:00 AM - 10:00 PM,"1,000",https://www.marham.pk/doctors/lahore/homeopath/homeopathic-dr-muhammad-zain-fazal,https://staticconnect.marham.pk/assets/doctors/18331/dr-muhammad-zain-fazal-homeopath-lahore-23_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Homeopathic Dr. Muhammad Zain Fazal,"Homeopath, Acupuncture","BHMS, DHMS",6 Yrs,100%,55,"Homeopath Psychiatry, Chronic Diseases, Female Disorders, Arthritis",Hospital,Al-Fazal Homeopathic Clinic,Shahdara,Lahore,"Al-Fazal Homeopathic Clinic, Shahdara, Lahore",Mon: 11:00 AM - 10:00 PM; Tue: 11:00 AM - 10:00 PM; Wed: 11:00 AM - 10:00 PM; Thu: 11:00 AM - 10:00 PM; Fri: 11:00 AM - 10:00 PM; Sat: 11:00 AM - 10:00 PM,1500,https://www.marham.pk/doctors/lahore/homeopath/homeopathic-dr-muhammad-zain-fazal,https://staticconnect.marham.pk/assets/doctors/18331/dr-muhammad-zain-fazal-homeopath-lahore-23_80X80.webp,https://www.marham.pk/doctors/acupuncture
Multan,Dr. Muhammad Faisal Mehboob,"Physiotherapist, Acupuncture","DPT, PGC Acupuncture , MSRS (Masters in Rehabilitation Sciences) , Sports Specialist",7 Yrs,100%,38,"Stroke Rehabilitation Specialist, Evidence Based Practice, Sports Medicine, Sports Medicine, Sports Medicine, Physiotherapist, Physiotherapist, After Fracture Rehabilitation Specialist, Sports Medicine",Video Consultation,Video Consultation,Garden Town,Multan,Video Consultation,Mon: 04:00 PM - 08:00 PM; Tue: 04:00 PM - 08:00 PM; Wed: 04:00 PM - 08:00 PM; Thu: 04:00 PM - 08:00 PM; Fri: 04:00 PM - 08:00 PM; Sat: 04:00 PM - 08:00 PM,"1,000",https://www.marham.pk/doctors/multan/physiotherapist/dr-muhammad-faisal-mehboob,https://staticconnect.marham.pk/assets/doctors/17891/muhammad-faisal-mehboob-physiotherapist-multan-4_80X80.webp,https://www.marham.pk/doctors/acupuncture
Multan,Dr. Muhammad Faisal Mehboob,"Physiotherapist, Acupuncture","DPT, PGC Acupuncture , MSRS (Masters in Rehabilitation Sciences) , Sports Specialist",7 Yrs,100%,38,"Stroke Rehabilitation Specialist, Evidence Based Practice, Sports Medicine, Sports Medicine, Sports Medicine, Physiotherapist, Physiotherapist, After Fracture Rehabilitation Specialist, Sports Medicine",Hospital,Faisal Acupuncture and Physiotherapy Center,Gulgasht Colony,Multan,"Faisal Acupuncture and Physiotherapy Center, Gulgasht Colony, Multan",Mon: 03:00 PM - 05:00 PM; Tue: 03:00 PM - 05:00 PM; Wed: 03:00 PM - 05:00 PM; Thu: 03:00 PM - 05:00 PM; Fri: 03:00 PM - 05:00 PM; Sat: 03:00 PM - 05:00 PM,2000,https://www.marham.pk/doctors/multan/physiotherapist/dr-muhammad-faisal-mehboob,https://staticconnect.marham.pk/assets/doctors/17891/muhammad-faisal-mehboob-physiotherapist-multan-4_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Dr. Ms Shiza Khan,"Physiotherapist, Acupuncture","DPT , MS In Women Health , Certification In Cupping Therapy , Microneedling Certification",4 Yrs,96%,49,,Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 12:00 PM - 08:00 PM; Tue: 12:00 PM - 08:00 PM; Wed: 12:00 PM - 08:00 PM; Thu: 12:00 PM - 08:00 PM; Fri: 12:00 PM - 08:00 PM,"1,000",https://www.marham.pk/doctors/lahore/physiotherapist/dr-ms-shiza-khan,https://staticconnect.marham.pk/assets/doctors/20361/ms-shiza-khan-physiotherapist-lahore-87_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Dr. Ms Shiza Khan,"Physiotherapist, Acupuncture","DPT , MS In Women Health , Certification In Cupping Therapy , Microneedling Certification",4 Yrs,96%,49,,Hospital,Lahore Spine Care-Dr Shiza Khan,DHA Defence,Lahore,"Lahore Spine Care-Dr Shiza Khan, DHA Defence, Lahore",Mon: 12:00 PM - 09:00 PM; Tue: 12:00 PM - 09:00 PM; Wed: 12:00 PM - 09:00 PM; Thu: 12:00 PM - 09:00 PM; Fri: 12:00 PM - 09:00 PM; Sat: 12:00 PM - 09:00 PM,1000,https://www.marham.pk/doctors/lahore/physiotherapist/dr-ms-shiza-khan,https://staticconnect.marham.pk/assets/doctors/20361/ms-shiza-khan-physiotherapist-lahore-87_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Dr. Somia Dawood,Acupuncture,"MD, MRCP, Lis. Ac.",22 Yrs,80%,4,"Moxibustion, Cupping & Laser Therapy, Acupuncture",Hospital,Surgimed Hospital,Gulberg 4,Lahore,"Surgimed Hospital, Gulberg 4, Lahore",Mon: 07:00 PM - 11:00 PM; Tue: 07:00 PM - 11:00 PM; Wed: 07:00 PM - 11:00 PM; Thu: 07:00 PM - 11:00 PM; Fri: 07:00 PM - 11:00 PM,3000,https://www.marham.pk/doctors/lahore/acupuncture/dr-somia-dawood,https://static.marham.pk/assets/images/doctor-photo-female-8080.webp,https://www.marham.pk/doctors/acupuncture
Islamabad,Dr. Selman Ijaz,Acupuncture,Diploma (Acupuncture and Herbology),11 Yrs,100%,10,"Depression, CBT, Trauma Focused Therapy, Interpersonal Therapy, Dialectical Behavior Therapy, Motivational Therapy, Transnational Analysis, Rational Emotive Behavior Therapy, Anxiety, Hormone Imbalance, Parkinsons Disease",Video Consultation,Video Consultation,Garden Town,Islamabad,Video Consultation,Wed: 06:00 PM - 08:00 PM,450,https://www.marham.pk/online-consultation/acupuncture/islamabad/dr-selman-ijaz-21429,https://staticconnect.marham.pk/assets/doctors/21429/dr-selman-ijaz-acupuncture-islamabad-62_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Dr. Zameer Jaffri,Acupuncture,D.Ac-M.D (Clombo),28 Yrs,100%,5,,Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Fri: 01:00 PM - 09:00 PM; Sat: 01:00 PM - 09:00 PM; Sun: 01:00 PM - 09:00 PM,"1,500",https://www.marham.pk/online-consultation/acupuncture/lahore/dr-zameer-jaffri-22743,https://staticconnect.marham.pk/assets/doctors/22743/dr-zameerjaffri-acupuncture-lahore-48_80X80.webp,https://www.marham.pk/doctors/acupuncture
Daska,Dr. Naseer Iqbal,Acupuncture,"DHMS , DAC , MD",38 Yrs,100%,8,Acupuncture,Video Consultation,Video Consultation,Garden Town,Daska,Video Consultation,Mon: 09:00 AM - 09:00 PM; Tue: 09:00 AM - 09:00 PM; Wed: 09:00 AM - 09:00 PM; Thu: 09:00 AM - 09:00 PM; Sat: 09:00 AM - 09:00 PM,800,https://www.marham.pk/online-consultation/acupuncture/daska/dr-naseer-iqbal-31957,https://staticconnect.marham.pk/assets/doctors/31957/dr-naseer-iqbal-acupuncture-daska-73_80X80.webp,https://www.marham.pk/doctors/acupuncture
Sialkot,Dr. Naseer Iqbal,Acupuncture,"DHMS , DAC , MD",38 Yrs,100%,8,Acupuncture,Hospital,Iqbal Hospital,Daska,Sialkot,"Iqbal Hospital, Daska, Sialkot",Mon: 09:00 AM - 09:00 PM; Tue: 09:00 AM - 09:00 PM; Wed: 09:00 AM - 09:00 PM; Thu: 09:00 AM - 09:00 PM; Sat: 09:00 AM - 09:00 PM,800,https://www.marham.pk/online-consultation/acupuncture/daska/dr-naseer-iqbal-31957,https://staticconnect.marham.pk/assets/doctors/31957/dr-naseer-iqbal-acupuncture-daska-73_80X80.webp,https://www.marham.pk/doctors/acupuncture
Rawalpindi,Dr. Lt Col Jamila Tanweer,"Acupuncture, Acupuncture, Nutritionist","MBBS, Diploma in Acupuncture, Diploma in Nutition, Diploma in Medical Administration",36 Yrs,,,,Video Consultation,Video Consultation,Garden Town,Rawalpindi,Video Consultation,Mon: 01:00 PM - 07:00 PM; Tue: 01:00 PM - 07:00 PM; Wed: 01:00 PM - 07:00 PM; Thu: 01:00 PM - 07:00 PM,"1,500",https://www.marham.pk/online-consultation/general-physician/rawalpindi/dr-lt-col-jamila-tanweer-35193,https://staticconnect.marham.pk/assets/doctors/35193/dr-lt-col-jamila-tanweer-acupuncture-rawalpindi-66_80X80.webp,https://www.marham.pk/doctors/acupuncture
